Robot ID,Timestamp,X,Y,Velocity,Battery,Status
JASHBOT-001,2026-04-14T20:58:37.636176,94.23,27.8,3.13,70,Moving
JASHBOT-001,2026-04-14T20:58:37.636222,25.33,28.26,4.37,21,Moving
JASHBOT-001,2026-04-14T20:58:37.636241,49.05,46.73,0.71,51,Moving
JASHBOT-001,2026-04-14T20:58:37.636256,55.79,80.99,3.1,36,Error
JASHBOT-001,2026-04-14T20:58:37.636324,73.48,51.78,1.29,37,Moving
JASHBOT-002,2026-04-14T20:58:37.636208,37.82,78.14,1.67,12,Error
JASHBOT-002,2026-04-14T20:58:37.636234,4.56,25.56,4.51,33,Idle
JASHBOT-002,2026-04-14T20:58:37.636248,48.05,4.84,3.85,62,Error
JASHBOT-002,2026-04-14T20:58:37.636286,49.65,98.18,3.09,34,Error
JASHBOT-002,2026-04-14T20:58:37.636360,93.15,46.39,1.0,21,Charging
